ID,GAME,RATING,TIME,MIN PLAYERS,MAX PLAYERS,REC PLAYERS,MECHANICS,DEMO,WANTS TO PLAY,OWNS,PLAYED,BGG LINK
2453,Blokus,6.94121,20,2,4,4,"Area Enclosure, Tile Placement",,,,,https://boardgamegeek.com/boardgame/2453
192860,Oceanos,7.08917,45,2,5,4,"Card Drafting, Set Collection",,,,,https://boardgamegeek.com/boardgame/192860
65515,Nuns on the Run,6.56001,45,2,8,5,"Dice Rolling, Paper-and-Pencil, Pick-up and Deliver, Point to Point Movement, Secret Unit Deployment, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/65515
204892,You Gotta Be Kitten Me!,5.90364,30,2,10,2,,,,,,https://boardgamegeek.com/boardgame/204892
137550,Story War,5.08367,30,3,8,5,"Hand Management, Storytelling",,,,,https://boardgamegeek.com/boardgame/137550
177857,Achaia,6.65453,90,2,5,4,"Area Control / Area Influence, Dice Rolling, Hand Management, Modular Board, Worker Placement",,,,,https://boardgamegeek.com/boardgame/177857
172,For Sale,7.22409,20,3,6,5,"Auction/Bidding, Hand Management",,,,,https://boardgamegeek.com/boardgame/172
79828,A Few Acres of Snow,7.4448,120,2,2,2,"Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement",,,,,https://boardgamegeek.com/boardgame/79828
34194,Aquaretto,7.02712,45,2,5,4,"Set Collection, Tile Placement",,,,,https://boardgamegeek.com/boardgame/34194
183881,Goblin Dice,5.985,30,2,6,,"Dice Rolling, Modular Board",,,,,https://boardgamegeek.com/boardgame/183881
183883,Port of Piraeus,5.91389,60,3,6,5,"Commodity Speculation, Set Collection, Trading",,,,,https://boardgamegeek.com/boardgame/183883
50750,Belfort,7.32476,120,2,5,4,"Area Control / Area Influence, Card Drafting, Hand Management, Worker Placement",,,,,https://boardgamegeek.com/boardgame/50750
31497,Oregon,6.78429,45,2,4,3,"Area Control / Area Influence, Tile Placement",,,,,https://boardgamegeek.com/boardgame/31497
144865,Sushi Draft,5.74115,15,3,5,4,"Card Drafting, Set Collection",,,,,https://boardgamegeek.com/boardgame/144865
144864,Ascension: Darkness Unleashed,7.55589,30,1,2,2,"Card Drafting, Deck / Pool Building, Hand Management",,,,,https://boardgamegeek.com/boardgame/144864
146312,Ghost Fightin' Treasure Hunters,7.12381,30,2,4,4,"Co-operative Play, Dice Rolling, Roll / Spin and Move",,,,,https://boardgamegeek.com/boardgame/146312
97803,Penny Arcade: The Game  Gamers vs. Evil,6.5619,30,2,4,4,"Card Drafting, Deck / Pool Building, Hand Management, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/97803
1080,Evolution,6.12222,0,2,6,,,,,,,https://boardgamegeek.com/boardgame/1080
104363,Rex: Final Days of an Empire,7.15733,120,3,6,6,"Area Control / Area Influence, Auction/Bidding, Hand Management, Partnerships, Point to Point Movement, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/104363
144041,Patchistory,7.3462,120,2,4,4,"Action Point Allowance System, Area Control / Area Influence, Auction/Bidding, Card Drafting, Grid Movement, Hand Management, Memory, Simultaneous Action Selection, Tile Placement, Variable Player Powers, Voting, Worker Placement",,,,,https://boardgamegeek.com/boardgame/144041
97357,Sunrise City,6.68057,60,2,4,4,"Auction/Bidding, Card Drafting, Tile Placement, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/97357
160784,Fidelitas,6.38261,30,1,4,2,Hand Management,,,,,https://boardgamegeek.com/boardgame/160784
29152,Yggdrasil,4,0,2,4,,,,,,,https://boardgamegeek.com/boardgame/29152
115288,Penny Arcade: The Game  Rumble in R'lyeh,7.07635,30,2,4,4,"Card Drafting, Deck / Pool Building, Hand Management, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/115288
181810,Kodama: The Tree Spirits,6.99214,40,2,5,3,"Set Collection, Tile Placement",,,,,https://boardgamegeek.com/boardgame/181810
142079,Space Cadets: Dice Duel,6.92141,30,4,8,8,"Action / Movement Programming, Dice Rolling, Grid Movement, Partnerships",,,,,https://boardgamegeek.com/boardgame/142079
34585,Keltis,6.45766,30,2,4,3,"Hand Management, Point to Point Movement, Set Collection",,,,,https://boardgamegeek.com/boardgame/34585
159452,"Wake up, Cthulhu!",5.71181,30,1,4,4,"Betting/Wagering, Hand Management, Press Your Luck",,,,,https://boardgamegeek.com/boardgame/159452
151347,Millennium Blades,7.98807,120,2,5,4,"Card Drafting, Commodity Speculation, Hand Management, Set Collection, Simulation, Trading",,,,,https://boardgamegeek.com/boardgame/151347
141572,Paperback,7.3948,45,2,5,2,"Card Drafting, Co-operative Play, Deck / Pool Building",,,,,https://boardgamegeek.com/boardgame/141572
10403,Ascension,6.45,60,2,4,,"Memory, Modular Board, Point to Point Movement",,,,,https://boardgamegeek.com/boardgame/10403
72321,The Networks,7.42256,90,1,5,4,Card Drafting,,,,,https://boardgamegeek.com/boardgame/72321
163602,XCOM: The Board Game,7.20033,90,1,4,4,"Co-operative Play, Dice Rolling, Hand Management, Press Your Luck, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/163602
134157,Guilds of London,7.11418,45,1,4,4,"Area Control / Area Influence, Hand Management",,,,,https://boardgamegeek.com/boardgame/134157
11971,Cockroach Poker,6.47465,20,2,6,5,"Hand Management, Set Collection",,,,,https://boardgamegeek.com/boardgame/11971
34127,Ticket to Ride: The Card Game,6.19386,30,2,4,3,"Hand Management, Memory, Set Collection",,,,,https://boardgamegeek.com/boardgame/34127
155624,Specter Ops,7.41821,90,2,5,3,"Dice Rolling, Grid Movement, Partnerships, Point to Point Movement, Secret Unit Deployment, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/155624
159503,The Captain Is Dead,7.4177,90,1,7,4,"Action Point Allowance System, Co-operative Play, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/159503
127398,Legends of Andor,7.3276,90,2,4,4,"Area Movement, Co-operative Play, Dice Rolling, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/127398
102794,Caverna: The Cave Farmers,8.17851,210,1,7,4,"Tile Placement, Worker Placement",,,,,https://boardgamegeek.com/boardgame/102794
182801,Stinky Business,6.30779,90,2,5,,"Area Control / Area Influence, Card Drafting, Dice Rolling, Hand Management",,,,,https://boardgamegeek.com/boardgame/182801
154825,Arkwright,7.89634,240,2,4,4,"Commodity Speculation, Simulation, Stock Holding, Variable Phase Order, Worker Placement",,,,,https://boardgamegeek.com/boardgame/154825
159508,AquaSphere,7.38389,100,2,4,4,"Area Control / Area Influence, Area Movement, Modular Board",,,,,https://boardgamegeek.com/boardgame/159508
191624,Bear Valley,5.65982,30,2,6,4,"Modular Board, Player Elimination, Press Your Luck",,,,,https://boardgamegeek.com/boardgame/191624
187680,Quests of Valeria,7.18794,45,1,5,2,"Card Drafting, Hand Management, Set Collection",,,,,https://boardgamegeek.com/boardgame/187680
11,Bohnanza,7.06711,45,2,7,5,"Hand Management, Set Collection, Trading",,,,,https://boardgamegeek.com/boardgame/11
36015,Conan,8,0,2,2,,Card Drafting,,,,,https://boardgamegeek.com/boardgame/36015
12,Ra,7.47506,60,2,5,3,"Auction/Bidding, Press Your Luck, Set Collection",,,,,https://boardgamegeek.com/boardgame/12
192343,Bubblee Pop,6.69795,20,1,2,2,Pattern Building,,,,,https://boardgamegeek.com/boardgame/192343
165404,Dragonscroll,6.6355,60,2,4,3,"Hand Management, Pick-up and Deliver, Set Collection, Tile Placement",,,,,https://boardgamegeek.com/boardgame/165404
5716,Balloon Cup,6.70938,30,2,2,2,"Hand Management, Set Collection",,,,,https://boardgamegeek.com/boardgame/5716
160434,Robin,5.98142,20,2,6,4,"Set Collection, Trading",,,,,https://boardgamegeek.com/boardgame/160434
173291,Spit It Out!,6.2727,30,3,8,5,,,,,,https://boardgamegeek.com/boardgame/173291
12761,Ys,6.94556,90,2,4,4,"Area Control / Area Influence, Auction/Bidding, Commodity Speculation",,,,,https://boardgamegeek.com/boardgame/12761
864,Mage Knight,6.07146,60,2,4,2,,,,,,https://boardgamegeek.com/boardgame/864
209010,Mechs vs. Minions,8.36694,90,2,4,4,"Action / Movement Programming, Card Drafting, Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/209010
2025,Frag,5.72697,30,2,6,5,Dice Rolling,,,,,https://boardgamegeek.com/boardgame/2025
170318,Among the Stars: Revival,7.33982,30,2,6,2,"Card Drafting, Simultaneous Action Selection, Tile Placement, Variable Phase Order",,,,,https://boardgamegeek.com/boardgame/170318
97903,Terror in Meeple City,6.95383,45,2,4,4,"Area Movement, Set Collection, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/97903
200783,HOP!,5.54484,0,3,6,4,"Betting/Wagering, Partnerships",,,,,https://boardgamegeek.com/boardgame/200783
155068,Arcadia Quest,7.99408,60,2,4,4,"Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/155068
102548,Dungeon Fighter,6.90416,45,1,6,3,"Card Drafting, Co-operative Play, Dice Rolling, Modular Board, Point to Point Movement, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/102548
135654,New Dawn,7.01976,120,2,4,3,"Area Control / Area Influence, Hand Management, Tile Placement, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/135654
97786,Small World Underground,7.36894,90,2,5,4,"Area Control / Area Influence, Area Movement, Dice Rolling, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/97786
173486,Dune: The Dice Game,6.86691,120,3,8,6,"Area Control / Area Influence, Area Movement, Dice Rolling, Partnerships, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/173486
163056,Muse,6.95932,30,2,4,2,"Hand Management, Pattern Building, Set Collection",,,,,https://boardgamegeek.com/boardgame/163056
61653,Courtier,0,90,2,4,,"Betting/Wagering, Memory, Pattern Recognition",,,,,https://boardgamegeek.com/boardgame/61653
164589,Roar-a-Saurus,6.07036,15,2,5,4,"Dice Rolling, Simultaneous Action Selection, Variable Phase Order",,,,,https://boardgamegeek.com/boardgame/164589
179629,Panda Head,5.3717,20,2,5,,Trick-taking,,,,,https://boardgamegeek.com/boardgame/179629
145633,Ascension: Apprentice Edition,7.14639,30,2,2,2,"Card Drafting, Deck / Pool Building, Hand Management",,,,,https://boardgamegeek.com/boardgame/145633
180974,Potion Explosion,7.229,60,2,4,2,"Pattern Recognition, Set Collection, Take That",,,,,https://boardgamegeek.com/boardgame/180974
126792,Myrmes,7.34175,120,2,4,4,"Action Point Allowance System, Grid Movement, Route/Network Building, Worker Placement",,,,,https://boardgamegeek.com/boardgame/126792
133437,Dead Panic,6.12589,90,2,6,4,"Action Point Allowance System, Co-operative Play, Dice Rolling, Hand Management, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/133437
176229,Tides of Time,6.83222,20,2,2,2,"Card Drafting, Set Collection",,,,,https://boardgamegeek.com/boardgame/176229
179275,One Deck Dungeon,7.56482,45,1,2,1,"Co-operative Play, Deck / Pool Building, Dice Rolling",,,,,https://boardgamegeek.com/boardgame/179275
125311,Niya,6.6952,10,2,2,2,Pattern Building,,,,,https://boardgamegeek.com/boardgame/125311
127997,Qin,6.8107,30,2,4,2,"Area Control / Area Influence, Area Enclosure, Hand Management, Tile Placement",,,,,https://boardgamegeek.com/boardgame/127997
178754,Z War One: Damnation,8.47239,120,1,5,4,"Action Point Allowance System, Co-operative Play, Dice Rolling",,,,,https://boardgamegeek.com/boardgame/178754
125315,FlowerFall,6.08441,10,2,7,4,"Area Control / Area Influence, Modular Board",,,,,https://boardgamegeek.com/boardgame/125315
152053,Lagoon: Land of Druids,6.55861,60,1,4,2,"Grid Movement, Modular Board, Rock-Paper-Scissors, Stock Holding, Tile Placement",,,,,https://boardgamegeek.com/boardgame/152053
40692,Small World,7.35283,80,2,5,4,"Area Control / Area Influence, Area Movement, Dice Rolling, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/40692
24068,Shadow Hunters,6.84981,45,4,8,7,"Dice Rolling, Partnerships, Player Elimination, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/24068
175155,Forbidden Stars,8.05823,180,2,4,3,"Area Control / Area Influence, Dice Rolling, Hand Management, Modular Board, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/175155
154742,Video Game High School,6.424,30,2,4,4,"Dice Rolling, Hand Management, Variable Player Powers, Worker Placement",,,,,https://boardgamegeek.com/boardgame/154742
175150,Casting,6.34069,40,4,8,6,,,,,,https://boardgamegeek.com/boardgame/175150
153905,Warband: Against the Darkness,6.83759,60,2,5,4,"Action Point Allowance System, Area Control / Area Influence, Set Collection",,,,,https://boardgamegeek.com/boardgame/153905
